Date,Island,Day_of_year,Spawn_evidence,sample_n,confirmed_spawn_k,sample_per_day,LC_Z_score,MC_Z_score,HC_Z_score,LC_p,MC_p,HC_p,pvalue_LC,pvalue_MC,pvalue_HC
2019-10-08,Molokai,281,Yes,2,2,2,2.936170213,2.464285714,1.922005571,0.00166146,0.006864331,0.027302528,2.76045E-06,4.7119E-05,0.000745428
2020-10-15,Molokai,289,Yes,4,4,6,3.276595745,2.75,2.144846797,0.000525333,0.002979763,0.015982549,7.61623E-14,7.88364E-11,6.52506E-08
2021-05-25,Molokai,145,Yes,2,2,2,-2.85106383,-2.392857143,-1.866295265,0.002178661,0.008358874,0.031000033,4.74656E-06,6.98708E-05,0.000961002
